id,date,name,price,volume
1137250,2025-07-17,JEF,56.32,1510000
1137287,2025-07-17,JHG,41.68,1149000
1137125,2025-07-17,JPM,289.9,6910000
1137288,2025-07-17,JXN,88.53,621652
1137197,2025-07-17,KB,82.74,225860
1137226,2025-07-17,KEY,18.37,26408000
1137144,2025-07-17,KKR,147.6,5057000
1137253,2025-07-17,KNSL,483.74,157812
1137222,2025-07-17,L,92.18,651456
1137301,2025-07-17,LNC,34.48,1933000
1137203,2025-07-17,LPLA,378.87,872050
1137162,2025-07-17,LYG,4.22,7529000
1137127,2025-07-17,MA,555.61,2722000
1137304,2025-07-17,MAIN,64.82,531128
1137314,2025-07-17,MC,71.83,899350
1137156,2025-07-17,MCO,502.43,689221
1137179,2025-07-17,MET,77.33,1951000
1137178,2025-07-17,MFC,30.91,1985000
1137166,2025-07-17,MFG,5.6,4658000
1137206,2025-07-17,MKL,2020.08,42207
1137272,2025-07-17,MKTX,210.43,510034
1137150,2025-07-17,MMC,211.04,2864000
1137243,2025-07-17,MORN,291.06,174276
1137131,2025-07-17,MS,140.9,6796000
1137184,2025-07-17,MSCI,580.18,547113
1137194,2025-07-17,MTB,195.6,1493000
1137290,2025-07-17,MTG,25.31,2532000
1137141,2025-07-17,MUFG,13.42,2826000
1137181,2025-07-17,NDAQ,89.95,1936000
1137223,2025-07-17,NMR,6.35,624758
1137208,2025-07-17,NTRS,127.06,944768
1137172,2025-07-17,NU,13.99,92626000
1137185,2025-07-17,NWG,13.41,2827000
1137299,2025-07-17,OBDC,15.1,2974000
1137284,2025-07-17,OMF,57.53,965607
1137273,2025-07-17,ONB,22.92,2617000
1137260,2025-07-17,ORI,36.75,1574000
1137196,2025-07-17,OWL,20.8,12180000
1137300,2025-07-17,OZK,51.91,1853000
1137281,2025-07-17,PB,73.78,477764
1137295,2025-07-17,PDI,18.92,1602000
1137224,2025-07-17,PFG,80.97,995082
1137312,2025-07-17,PFSI,100.94,173450
1137142,2025-07-17,PGR,247.27,3953000
1137318,2025-07-17,PIPR,313.67,199445
1137278,2025-07-17,PJT,184.01,502432
1137160,2025-07-17,PNC,195.99,3097000
1137262,2025-07-17,PNFP,118.88,675215
1137264,2025-07-17,PRI,267.06,127759
1137187,2025-07-17,PRU,103.13,986783
1137328,2025-07-17,PSLV,12.85,26203484
1137191,2025-07-17,PUK,24.7,754061
1137163,2025-07-17,PYPL,73.86,7585000
1137289,2025-07-17,QFIN,42.0,1742000
1137317,2025-07-17,RDN,33.99,1285000
1137216,2025-07-17,RF,24.51,8779000
